Date,Open,Close,PercentChange
12/04/2019,3103.50,3112.76,0.002984
12/05/2019,3119.21,3117.43,-0.000571
12/06/2019,3134.62,3145.91,0.003602
12/09/2019,3141.86,3135.96,-0.001878
12/10/2019,3135.36,3132.52,-0.000906
12/11/2019,3135.75,3141.63,0.001875
12/12/2019,3141.23,3168.57,0.008704
12/13/2019,3166.65,3168.80,0.000679
12/16/2019,3183.63,3191.45,0.002456
12/17/2019,3195.40,3192.52,-0.000901
12/18/2019,3195.21,3191.14,-0.001274
12/19/2019,3192.32,3205.37,0.004088
12/20/2019,3223.33,3221.22,-0.000655
12/23/2019,3226.05,3224.01,-0.000632
12/24/2019,3225.45,3223.38,-0.000642
12/26/2019,3227.20,3239.91,0.003938
12/27/2019,3247.23,3240.02,-0.002220
12/30/2019,3240.09,3221.29,-0.005802
01/02/2020,3244.67,3257.85,0.004062
01/03/2020,3226.36,3234.85,0.002631
01/06/2020,3217.55,3246.28,0.008929
01/07/2020,3241.86,3237.18,-0.001444
01/08/2020,3238.59,3253.05,0.004465
01/09/2020,3266.03,3274.70,0.002655
01/10/2020,3281.81,3265.35,-0.005016
01/13/2020,3271.13,3288.13,0.005197
01/14/2020,3285.35,3283.15,-0.000670
01/15/2020,3282.27,3289.29,0.002139
01/16/2020,3302.97,3316.81,0.004190
01/17/2020,3323.66,3329.62,0.001793
01/21/2020,3321.03,3320.79,-0.000072
01/22/2020,3330.02,3321.75,-0.002483
01/23/2020,3315.77,3325.54,0.002947
01/24/2020,3333.10,3295.47,-0.011290
01/27/2020,3247.16,3243.63,-0.001087
01/28/2020,3255.35,3276.24,0.006417
01/29/2020,3289.46,3273.40,-0.004882
01/30/2020,3256.45,3283.66,0.008356
01/31/2020,3282.33,3225.52,-0.017308
02/03/2020,3235.66,3248.92,0.004098
02/04/2020,3280.61,3297.59,0.005176
02/05/2020,3324.91,3334.69,0.002941
02/06/2020,3344.92,3345.78,0.000257
02/07/2020,3335.54,3327.71,-0.002347
02/10/2020,3318.28,3352.09,0.010189
02/11/2020,3365.87,3357.75,-0.002412
02/12/2020,3370.50,3379.45,0.002655
02/13/2020,3365.90,3373.94,0.002389
02/14/2020,3378.08,3380.16,0.000616
02/18/2020,3369.04,3370.29,0.000371
02/19/2020,3380.39,3386.15,0.001704
02/20/2020,3380.45,3373.23,-0.002136
02/21/2020,3360.50,3337.75,-0.006770
02/24/2020,3257.61,3225.89,-0.009737
02/25/2020,3238.94,3128.21,-0.034187
02/26/2020,3139.90,3116.39,-0.007487
02/27/2020,3062.54,2978.76,-0.027356
02/28/2020,2916.90,2954.22,0.012794
03/02/2020,2974.28,3090.23,0.038984
03/03/2020,3096.46,3003.37,-0.030063
03/04/2020,3045.75,3130.12,0.027701
03/05/2020,3075.70,3023.94,-0.016829
03/06/2020,2954.20,2972.37,0.006151
03/09/2020,2863.89,2746.56,-0.040969
03/10/2020,2813.48,2882.23,0.024436
03/11/2020,2825.60,2741.38,-0.029806
03/12/2020,2630.86,2480.64,-0.057099
03/13/2020,2569.99,2711.02,0.054876
03/16/2020,2508.59,2386.13,-0.048816
03/17/2020,2425.66,2529.19,0.042681
03/18/2020,2436.50,2398.10,-0.015760
03/19/2020,2393.48,2409.39,0.006647
03/20/2020,2431.94,2304.92,-0.052230
03/23/2020,2290.71,2237.40,-0.023272
03/24/2020,2344.44,2447.33,0.043887
03/25/2020,2457.77,2475.56,0.007238
03/26/2020,2501.29,2630.07,0.051485
03/27/2020,2555.87,2541.47,-0.005634
03/30/2020,2558.98,2626.65,0.026444
03/31/2020,2614.69,2584.59,-0.011512
04/01/2020,2498.08,2470.50,-0.011040
04/02/2020,2458.54,2526.90,0.027805
04/03/2020,2514.92,2488.65,-0.010446
04/06/2020,2578.28,2663.68,0.033123
04/07/2020,2738.65,2659.41,-0.028934
04/08/2020,2685.00,2749.98,0.024201
04/09/2020,2776.99,2789.82,0.004620
04/13/2020,2782.46,2761.63,-0.007486
04/14/2020,2805.10,2846.06,0.014602
04/15/2020,2795.64,2783.36,-0.004393
04/16/2020,2799.34,2799.55,0.000075
04/17/2020,2842.43,2874.56,0.011304
04/20/2020,2845.62,2823.16,-0.007893
04/21/2020,2784.81,2736.56,-0.017326
04/22/2020,2787.89,2799.31,0.004096
04/23/2020,2810.42,2797.80,-0.004490
04/24/2020,2812.64,2836.74,0.008568
04/27/2020,2854.65,2878.48,0.008348
04/28/2020,2909.96,2863.39,-0.016004
04/29/2020,2918.46,2939.51,0.007213
04/30/2020,2930.91,2912.43,-0.006305
05/01/2020,2869.09,2830.71,-0.013377
05/04/2020,2815.01,2842.74,0.009851
05/05/2020,2868.88,2868.44,-0.000153
05/06/2020,2883.14,2848.42,-0.012042
05/07/2020,2878.26,2881.19,0.001018
05/08/2020,2908.83,2929.80,0.007209
05/11/2020,2915.46,2930.19,0.005052
05/12/2020,2939.50,2870.12,-0.023603
05/13/2020,2865.86,2820.00,-0.016002
05/14/2020,2794.54,2852.50,0.020740
05/15/2020,2829.95,2863.70,0.011926
05/18/2020,2913.86,2953.91,0.013745
05/19/2020,2948.59,2922.94,-0.008699
05/20/2020,2953.63,2971.61,0.006087
05/21/2020,2969.95,2948.51,-0.007219
05/22/2020,2948.05,2955.45,0.002510
05/26/2020,3004.08,2991.77,-0.004098
05/27/2020,3015.65,3036.13,0.006791
